state,maximum_temperature,year,id_state
TABASCO,31.233973062017025,2008,27
TAMAULIPAS,29.879393517172527,2008,28
TLAXCALA,23.436426666744964,2008,29
VERACRUZ,28.24028471409059,2008,30
YUCATÁN,32.527299749166396,2008,31
ZACATECAS,25.545512461104092,2008,32
AGUASCALIENTES,27.522785217338278,2009,1
BAJA CALIFORNIA,26.829351642846078,2009,2
BAJA CALIFORNIA SUR,30.289354652274508,2009,3
CAMPECHE,33.322876409461955,2009,4
CHIAPAS,30.795016991682456,2009,5
CHIHUAHUA,26.777638769304787,2009,6
CIUDAD DE MÉXICO,24.4178314274654,2009,7
COAHUILA,29.594672165293844,2009,8
COLIMA,32.89152025843099,2009,9
DURANGO,26.85355583476841,2009,10
ESTADO DE MÉXICO,22.195605217330296,2009,11
GUANAJUATO,27.632949043431807,2009,12
GUERRERO,32.350135081284996,2009,13
HIDALGO,25.330909856147485,2009,14
JALISCO,28.873186632006338,2009,15
MICHOACÁN,27.71043452277657,2009,16
MORELOS,29.471632155545123,2009,17
NAYARIT,33.35410798229897,2009,18
NUEVO LEÓN,29.864106995537018,2009,19
OAXACA,30.673388438119122,2009,20
PUEBLA,25.267001038052104,2009,21
QUERÉTARO,26.543436745877106,2009,22
QUINTANA ROO,32.05744146921196,2009,23
SAN LUIS POTOSÍ,30.103258806394276,2009,24
SINALOA,33.33745024596673,2009,25
SONORA,31.180171473708388,2009,26
TABASCO,32.14584237787029,2009,27
TAMAULIPAS,30.70535152038302,2009,28
TLAXCALA,23.49782613409867,2009,29
VERACRUZ,28.55115186972904,2009,30
YUCATÁN,33.49136521901963,2009,31
ZACATECAS,26.30620033199162,2009,32
AGUASCALIENTES,26.288112051247808,2010,1
BAJA CALIFORNIA,26.534889597398998,2010,2
BAJA CALIFORNIA SUR,29.891120562355198,2010,3
CAMPECHE,32.170097708224354,2010,4
CHIAPAS,30.35206778320391,2010,5
CHIHUAHUA,26.820073727288584,2010,6
CIUDAD DE MÉXICO,23.594028463430394,2010,7
COAHUILA,28.287652096763424,2010,8
COLIMA,31.55985104094969,2010,9
DURANGO,26.02775690049073,2010,10
ESTADO DE MÉXICO,21.603276471482857,2010,11
GUANAJUATO,26.799983586287365,2010,12
GUERRERO,31.169011014210756,2010,13
HIDALGO,24.70288527712593,2010,14
JALISCO,28.356540893859194,2010,15
MICHOACÁN,26.665709878542838,2010,16
MORELOS,29.36017657493217,2010,17
NAYARIT,32.509508571117664,2010,18
NUEVO LEÓN,28.462692801344613,2010,19
OAXACA,29.78178539826514,2010,20
PUEBLA,24.324989173768177,2010,21
QUERÉTARO,25.8488994317584,2010,22
QUINTANA ROO,31.602965733335285,2010,23
SAN LUIS POTOSÍ,29.08057544571211,2010,24
SINALOA,32.455453093444625,2010,25
SONORA,30.601836964654918,2010,26
TABASCO,30.85993908444431,2010,27
TAMAULIPAS,29.530125826446852,2010,28
TLAXCALA,22.665203970348628,2010,29
VERACRUZ,27.452183054582374,2010,30
YUCATÁN,31.761944184493434,2010,31
ZACATECAS,25.437929329626254,2010,32
AGUASCALIENTES,27.809877050911933,2011,1
BAJA CALIFORNIA,25.745265890926955,2011,2
BAJA CALIFORNIA SUR,29.8081557488127,2011,3
CAMPECHE,32.630926048869696,2011,4
CHIAPAS,30.19773601755666,2011,5
CHIHUAHUA,28.16851453890989,2011,6
CIUDAD DE MÉXICO,24.229953818483477,2011,7
COAHUILA,30.633003197104184,2011,8
COLIMA,31.58858046063426,2011,9
DURANGO,28.220985091547835,2011,10
ESTADO DE MÉXICO,21.9635282252586,2011,11
GUANAJUATO,27.60266340032476,2011,12
GUERRERO,31.46185748675399,2011,13
HIDALGO,25.48313523439435,2011,14
JALISCO,29.277807526867132,2011,15
MICHOACÁN,28.193601104865305,2011,16
MORELOS,29.405110274513888,2011,17
NAYARIT,32.53937099445854,2011,18
NUEVO LEÓN,30.382595222037224,2011,19
OAXACA,30.84596344041128,2011,20
PUEBLA,25.22239767510261,2011,21
QUERÉTARO,26.456286216059826,2011,22
QUINTANA ROO,31.76931822053507,2011,23
SAN LUIS POTOSÍ,30.66619486300598,2011,24
SINALOA,32.75866187487272,2011,25
SONORA,30.931875925719158,2011,26
TABASCO,30.734831519087976,2011,27
TAMAULIPAS,30.81779425832259,2011,28
TLAXCALA,23.71213365092684,2011,29
VERACRUZ,28.807142322397947,2011,30
YUCATÁN,32.40920737811039,2011,31
ZACATECAS,27.043653149448364,2011,32
AGUASCALIENTES,26.616666666666664,2012,1
BAJA CALIFORNIA,26.950000000000003,2012,2
BAJA CALIFORNIA SUR,29.866666666666664,2012,3
CAMPECHE,32.36666666666667,2012,4
CHIAPAS,30.21666666666667,2012,5
CHIHUAHUA,27.83333333333333,2012,6
CIUDAD DE MÉXICO,23.383333333333336,2012,7
COAHUILA,29.99166666666667,2012,8
COLIMA,31.608333333333334,2012,9
DURANGO,27.450000000000003,2012,10
ESTADO DE MÉXICO,21.858333333333334,2012,11
GUANAJUATO,27.20833333333333,2012,12
GUERRERO,31.183333333333334,2012,13
HIDALGO,24.958333333333332,2012,14
JALISCO,28.058333333333334,2012,15
MICHOACÁN,27.700000000000003,2012,16
MORELOS,29.10833333333333,2012,17
NAYARIT,32.45,2012,18
NUEVO LEÓN,29.766666666666666,2012,19
OAXACA,30.95,2012,20
PUEBLA,25.03333333333333,2012,21
QUERÉTARO,26.600000000000005,2012,22
QUINTANA ROO,31.71666666666667,2012,23
SAN LUIS POTOSÍ,29.650000000000002,2012,24
SINALOA,32.86666666666667,2012,25
SONORA,31.208333333333332,2012,26
TABASCO,30.96666666666667,2012,27
TAMAULIPAS,30.491666666666664,2012,28
TLAXCALA,23.075,2012,29
VERACRUZ,28.083333333333332,2012,30
YUCATÁN,32.016666666666666,2012,31
ZACATECAS,26.649999999999995,2012,32
AGUASCALIENTES,26.60607814925044,2013,1
BAJA CALIFORNIA,27.72105350420935,2013,2
BAJA CALIFORNIA SUR,30.03352742939006,2013,3
CAMPECHE,33.285191129378525,2013,4
CHIAPAS,30.749155059507014,2013,5
CHIHUAHUA,26.59260412767011,2013,6
CIUDAD DE MÉXICO,24.55653548099397,2013,7
COAHUILA,28.288191560758747,2013,8
COLIMA,32.29161058274119,2013,9
DURANGO,27.020405384043183,2013,10
ESTADO DE MÉXICO,22.960479049495067,2013,11
GUANAJUATO,27.32288580196801,2013,12
GUERRERO,31.683530574138327,2013,13
HIDALGO,25.641385509683218,2013,14
JALISCO,28.152911749768325,2013,15
MICHOACÁN,27.5296742939573,2013,16
MORELOS,29.8313418882763,2013,17
NAYARIT,32.35222543393592,2013,18
NUEVO LEÓN,28.88458672131632,2013,19
OAXACA,31.555606617186843,2013,20
PUEBLA,25.69199531464315,2013,21
QUERÉTARO,27.10108628390933,2013,22
QUINTANA ROO,31.778748340605848,2013,23
SAN LUIS POTOSÍ,29.65880995088415,2013,24
SINALOA,32.94364852569136,2013,25
SONORA,31.161695410088708,2013,26
TABASCO,31.927264414433527,2013,27
TAMAULIPAS,30.095000724128806,2013,28
TLAXCALA,23.441011388888892,2013,29
VERACRUZ,28.70174322985218,2013,30
YUCATÁN,32.61517969677732,2013,31
ZACATECAS,25.81232986546679,2013,32
AGUASCALIENTES,26.316666666666666,2014,1
