state,minimum_temperature,year,id_state
CIUDAD DE MÉXICO,10.592950079965071,2011,7
COAHUILA,14.427677474456813,2011,8
COLIMA,19.535654482553717,2011,9
DURANGO,8.751608283507712,2011,10
ESTADO DE MÉXICO,6.644968744167293,2011,11
GUANAJUATO,10.317114280613149,2011,12
GUERRERO,18.65825971639566,2011,13
HIDALGO,9.824660145926352,2011,14
JALISCO,12.351845536198482,2011,15
MICHOACÁN,11.403827963437584,2011,16
MORELOS,13.484973177660416,2011,17
NAYARIT,17.288203650171507,2011,18
NUEVO LEÓN,15.186048029838863,2011,19
OAXACA,17.865874915950478,2011,20
PUEBLA,10.146358538163291,2011,21
QUERÉTARO,10.674222410057618,2011,22
QUINTANA ROO,21.809464063359826,2011,23
SAN LUIS POTOSÍ,15.658085998949737,2011,24
SINALOA,16.336797094256326,2011,25
SONORA,13.051841078512124,2011,26
TABASCO,20.722551456132134,2011,27
TAMAULIPAS,17.94179970990822,2011,28
TLAXCALA,5.974343655844606,2011,29
VERACRUZ,17.633169590833443,2011,30
YUCATÁN,19.755806481302947,2011,31
ZACATECAS,8.028906086696056,2011,32
AGUASCALIENTES,9.100000000000001,2012,1
BAJA CALIFORNIA,12.825000000000001,2012,2
BAJA CALIFORNIA SUR,16.483333333333334,2012,3
CAMPECHE,20.825000000000003,2012,4
CHIAPAS,18.525,2012,5
CHIHUAHUA,10.783333333333333,2012,6
CIUDAD DE MÉXICO,10.616666666666667,2012,7
COAHUILA,15.283333333333333,2012,8
COLIMA,19.73333333333333,2012,9
DURANGO,9.166666666666666,2012,10
ESTADO DE MÉXICO,7.418333333333333,2012,11
GUANAJUATO,10.708333333333334,2012,12
GUERRERO,18.741666666666664,2012,13
HIDALGO,10.374999999999998,2012,14
JALISCO,12.708333333333334,2012,15
MICHOACÁN,11.808333333333335,2012,16
MORELOS,13.691666666666668,2012,17
NAYARIT,18.291666666666664,2012,18
NUEVO LEÓN,15.708333333333334,2012,19
OAXACA,18.40833333333333,2012,20
PUEBLA,10.525,2012,21
QUERÉTARO,11.458333333333334,2012,22
QUINTANA ROO,21.850000000000005,2012,23
SAN LUIS POTOSÍ,16.275000000000002,2012,24
SINALOA,17.3,2012,25
SONORA,13.633333333333335,2012,26
TABASCO,20.825,2012,27
TAMAULIPAS,18.78333333333333,2012,28
TLAXCALA,6.416666666666667,2012,29
VERACRUZ,17.766666666666666,2012,30
YUCATÁN,19.90833333333333,2012,31
ZACATECAS,8.483333333333333,2012,32
AGUASCALIENTES,9.690345343752185,2013,1
BAJA CALIFORNIA,13.61938641090755,2013,2
BAJA CALIFORNIA SUR,16.75144473307978,2013,3
CAMPECHE,22.110227876322654,2013,4
CHIAPAS,19.191662548793342,2013,5
CHIHUAHUA,10.02965977703638,2013,6
CIUDAD DE MÉXICO,11.554494473918547,2013,7
COAHUILA,14.638359153377074,2013,8
COLIMA,20.410175624505058,2013,9
DURANGO,9.644000137622823,2013,10
ESTADO DE MÉXICO,8.256722315015308,2013,11
GUANAJUATO,11.259707643300972,2013,12
GUERRERO,18.99342361435247,2013,13
HIDALGO,10.764945146085589,2013,14
JALISCO,13.50640404315864,2013,15
MICHOACÁN,12.378646057524284,2013,16
MORELOS,14.558902129699055,2013,17
NAYARIT,18.843774400352732,2013,18
NUEVO LEÓN,15.058355465840414,2013,19
OAXACA,18.862929075317975,2013,20
PUEBLA,11.030524661670531,2013,21
