LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-93.068056,16.716944,CHIS,TXZCP,0,,,,,
-92.147222,15.091111,CHIS,VTACANA,14.8,,,,,
-93.330556,17.116667,CHIS,YAMCP,64.4,,,,,
-91.729722,16.909167,CHIS,YAQUINTELA,30.6,,,,,
-92.050556,16.116389,CHIS,ZAPALUTA,4.8,,,,,
-101.057222,29.446944,COAH,AMSCL,3.01,,,,,
-100.929722,25.561111,COAH,ARACL,11.12,,,,,
-101.116667,29.15,COAH,CBRCL,2,,,,,
-102.064444,26.983333,COAH,CCGCL,13.9,,,,,
-100.950278,29.327778,COAH,CDACL,3.02,,,,,
-100.661111,26.844444,COAH,CDLCL,14.02,,,,,
-100.95,29.213611,COAH,CNTCL,5,,,,,
-103.338333,25.695833,COAH,CUICL,2.5,,,,,
-103.469167,25.542222,COAH,CYTCL,1.53,,,,,
-100.920833,25.436111,COAH,ESLCL,10.45,,,,,
-103.262778,25.773889,COAH,FIMCL,2.02,,,,,
-100.832222,28.82,COAH,LFGCL,0,,,,,
-101.4225,26.908333,COAH,MCVCL,5.61,,,,,
-101.33,27.92,COAH,NUEVAROSITA,4,,,,,
-100.5325,28.706667,COAH,PNGCL,3.8,,,,,
-101.002222,27.422222,COAH,PRSCL,18,,,,,
-100.634444,28.898611,COAH,RioSanRodrigoC,2.25,,,,,
-101.016667,25.376389,COAH,SALCL,7.01,,,,,
-100.730833,29.071944,COAH,SANDIEGOC,1.75,,,,,
-101.122778,27.846667,COAH,SBNCL,5.54,,,,,
-100.953889,29.034167,COAH,SMGCL,0,,,,,
-103.699722,27.285278,COAH,SMJCL,4.7,,,,,
-102.979444,25.7575,COAH,SPECL,2.52,,,,,
-101.016667,25.376389,COAH,STOCL,7.42,,,,,
-103.45,25.541667,COAH,TORCL,3.55,,,,,
-100.616111,27.515,COAH,VCRCL,15.03,,,,,
-100.898889,29.033889,COAH,ZPTCL,5,,,,,
-103.611389,19.248611,COL,BVSCM,0.01,,,,,
-103.723611,18.754722,COL,CDOCM,0.01,,,,,
-103.702778,19.295,COL,CHNCM,0.01,,,,,
-103.6325,18.813056,COL,CLLCM,5.2,,,,,
-103.757222,19.3175,COL,CMLCM,0.01,,,,,
-103.804167,19.2125,COL,CQMCM,0.01,,,,,
-103.884444,19.111389,COL,DJLCM,8.8,,,,,
-103.866389,19.17,COL,LAECM,0.3,,,,,
-103.774167,18.809167,COL,LDACM,0.01,,,,,
-103.725278,19.223333,COL,LPSCM,0.2,,,,,
-104.297778,19.069167,COL,MANZANILLOmar,0,,,,,
-104.318333,19.044444,COL,MNZCM,0,,,,,
-103.816667,19.266667,COL,PNTCM,20,,,,,
-103.725278,19.223333,COL,RDRCM,0,,,,,
-103.700833,19.408333,COL,SCHCM,1.2,,,,,
-103.9175,19.463611,COL,SMANANTLANI,8.6,,,,,
-103.882778,18.925556,COL,TCMCM,0.01,,,,,
-103.396667,18.967222,COL,TRJCM,0.01,,,,,
-103.663333,19.2775,COL,TRPCM,0.01,,,,,
-99.210278,19.218611,DF,AJSDF,1.27,,,,,
-99.171667,19.453333,DF,CBIDF,0.75,,,,,
-99.180556,19.346667,DF,CCUDF,7.87,,,,,
-98.999444,19.357222,DF,CDMDF,17.01,,,,,
-99.1125,19.407778,DF,CDVDF,8.38,,,,,
-99.1375,19.516667,DF,CEADF,3.2,,,,,
-99.208333,19.155556,DF,CFSDF,0,,,,,
-99.1375,19.469722,DF,CMTDF,0,,,,,
-99.183333,19.486389,DF,CMYDF,3.3,,,,,
-99.09,19.190278,DF,CTNDF,1.78,,,,,
-99.09,19.484167,DF,CYLDF,17.52,,,,,
-99.205,19.3,DF,DATDF,2,,,,,
-99.131389,19.431111,DF,DDFDF,4.31,,,,,
-99.309167,19.313333,DF,DTLDF,6.36,,,,,
-99.15,19.383333,DF,DVLDF,4.32,,,,,
-99.151944,19.300556,DF,EAZDF,7.87,,,,,
-99.286389,19.3625,DF,EYQDF,1.02,,,,,
-99.352222,19.295,DF,EZCDF,6.86,,,,,
-99.091667,19.478056,DF,GCNDF,18.6,,,,,
-99.2625,19.308056,DF,HYTDF,1.53,,,,,
-99.066667,19.377778,DF,LU4DF,10.41,,,,,
-99.3,19.340556,DF,LVNDF,2.28,,,,,
-99.283333,19.216667,DF,MAGDF,0.25,,,,,
-99.133889,19.403333,DF,MCRDF,12.95,,,,,
-99.233056,19.187778,DF,MZTDF,1.77,,,,,
-99.096389,19.316389,DF,OCSDF,3.81,,,,,
-99.100278,19.379167,DF,PBADF,1.52,,,,,
-99.057778,19.433333,DF,PBCDF,7.05,,,,,
-99.119444,19.486667,DF,PBLDF,13.72,,,,,
-99.037778,19.38,DF,PBODF,12.7,,,,,
-99.170556,19.435556,DF,PBTDF,2.28,,,,,
-99.2,19.413056,DF,PCHDF,3.3,,,,,
-99.097222,19.455833,DF,PGNDF,7.62,,,,,
-99.076389,19.336944,DF,PLEDF,22.36,,,,,
-99.068333,19.420278,DF,PLMDF,10.16,,,,,
-99.126389,19.365278,DF,PMLDF,0,,,,,
-99.090833,19.246389,DF,PNTDF,4.57,,,,,
-99.154444,19.513056,DF,PRMDF,2.03,,,,,
-99.154444,19.513056,DF,PRRDF,0,,,,,
-99.023056,19.299167,DF,PSCDF,2.54,,,,,
-99.05,19.233333,DF,PSLDF,2.54,,,,,
-99.163889,19.468889,DF,PSNDF,3.56,,,,,
-99.171111,19.263056,DF,PSPDF,1.78,,,,,
-99.190278,19.509167,DF,PTRDF,3.05,,,,,
-99.126111,19.285833,DF,PVCDF,5.59,,,,,
-99.143056,19.331944,DF,PXTDF,5.08,,,,,
-99.194167,19.296111,DF,RBTDF,3.3,,,,,
-99.17,19.4,DF,RCMDF,5.08,,,,,
-99,19.166667,DF,SANDF,16,,,,,
-99.275,19.328611,DF,SBADF,5.08,,,,,
-99.028889,19.338333,DF,SCMDF,30.73,,,,,
-99.122222,19.572222,DF,SGDDF,0,,,,,
-99.066667,19.466667,DF,SJADF,7.8,,,,,
-99.009722,19.281389,DF,SPPDF,2.28,,,,,
-98.960556,19.320833,DF,SSCDF,20.07,,,,,
-99.1425,19.556111,DF,TCMDF,14.22,,,,,
-99.272222,19.373056,DF,TECDF,0.5,,,,,
-99.246389,19.333889,DF,TELDF,2.54,,,,,
-99.098889,19.385556,DF,TEZDF,0,,,,,
-99.211667,19.399167,DF,TNGDF,0,,,,,
-99.135833,19.199444,DF,TPJDF,1.02,,,,,
-99.084722,19.440833,DF,TPNDF,8.38,,,,,
-99.2125,19.361944,DF,TRGDF,3.56,,,,,
-99.248611,19.316667,DF,TSFDF,2.54,,,,,
-99.228611,19.436389,DF,TSJDF,9.14,,,,,
-99.264444,19.359722,DF,TSLDF,2.03,,,,,
-98.970833,19.210278,DF,TTLDF,6.86,,,,,
-99.211667,19.510278,DF,VDCDF,3.81,,,,,
-104.493889,26.226389,DGO,APRDR,0,,,,,
-104.7,24,DGO,CAGDR,1.81,,,,,
-104.8,24.516667,DGO,CB2DR,3.01,,,,,
-104.810278,24.538333,DGO,CBRDR,3.02,,,,,
-104.123333,26.521667,DGO,CEBDR,9.22,,,,,
-104.121111,24.4375,DGO,CGVDR,3.51,,,,,
-103.521667,25.533333,DGO,CLRDR,2.93,,,,,
-103.698889,24.871944,DGO,CNCDR,3,,,,,
-104.75,24.5,DGO,CNTDR,2.7,,,,,
-104.666667,24.033333,DGO,DRGDR,1.21,,,,,
-103.960278,24.001667,DGO,FV2DR,1.51,,,,,
-103.960833,24.001667,DGO,FVLDR,1.51,,,,,
-103.773611,25.270833,DGO,FZRDR,5.62,,,,,
-105.25,25.5,DGO,GESDR,2.02,,,,,
-105.955556,25.934722,DGO,GNCDR,10,,,,,
-104.753056,23.961111,DGO,GVCDR,0.5,,,,,
-104.751944,23.960278,DGO,GVHDR,0.5,,,,,
-103.983333,26.549722,DGO,LAFLOR,7.8,,,,,
-105.015833,25.594167,DGO,LCRDR,5.35,,,,,
-103.283889,25.068056,DGO,LFLDR,1.02,,,,,
-105.466111,24.185833,DGO,LVEDR,12.62,,,,,
-104.246944,23.387778,DGO,MICHILIA,5,,,,,
-103.85,25.816667,DGO,MPMDR,6.01,,,,,
-105.0475,23.899167,DGO,NAVDR,19.9,,,,,
-104.113889,25.225556,DGO,NZSDR,11.01,,,,,
-104.655556,24.237222,DGO,PA2DR,1.2,,,,,
-104.656667,24.203889,DGO,PAGDR,1.2,,,,,
-104.333056,24.538333,DGO,PDCDR,3.41,,,,,
-104.558333,25.181944,DGO,RDODR,2.02,,,,,
-106.366667,26.133333,DGO,ROSDR,11,,,,,
-105.443056,25.225,DGO,SACDR,10.31,,,,,
-105.331111,26.433056,DGO,SANANTONIO,0,,,,,
-104.673889,23.873333,DGO,SB2DR,1.3,,,,,
