state,average_temperature,year,id_state
CIUDAD DE MÉXICO,18.8,2019,7
COAHUILA,22.4,2019,8
COLIMA,27.4,2019,9
DURANGO,18.9,2019,10
ESTADO DE MÉXICO,15.6,2019,11
GUANAJUATO,19.8,2019,12
GUERRERO,25.5,2019,13
HIDALGO,19.8,2019,14
JALISCO,21.8,2019,15
MICHOACÁN,21.2,2019,16
MORELOS,22.4,2019,17
NAYARIT,26.5,2019,18
NUEVO LEÓN,22.6,2019,19
OAXACA,24.2,2019,20
PUEBLA,19.0,2019,21
QUERÉTARO,20.9,2019,22
QUINTANA ROO,28.1,2019,23
SAN LUIS POTOSÍ,24.5,2019,24
SINALOA,25.8,2019,25
SONORA,22.4,2019,26
TABASCO,27.6,2019,27
TAMAULIPAS,25.1,2019,28
TLAXCALA,15.8,2019,29
VERACRUZ,23.3,2019,30
YUCATÁN,27.3,2019,31
ZACATECAS,18.3,2019,32
